cr,slice,sect,x,y,z,vol
0,0,0,65.27151,36.93880,-230.51980,6485.00000
0,0,1,71.87941,18.70588,-230.59295,6593.00000
0,0,2,59.18403,4.56005,-234.58814,6427.00000
0,0,3,41.69851,8.52163,-238.15550,5882.00000
0,0,4,35.44002,24.16409,-238.20843,6079.00000
0,0,5,46.50803,39.41912,-234.46868,6508.00000
0,1,0,69.89575,40.69206,-240.52490,6676.00000
0,1,1,77.81255,18.83082,-240.60850,6775.00000
0,1,2,62.59982,1.92224,-245.40945,6624.00000
0,1,3,41.63512,6.67349,-249.66586,6022.00000
0,1,4,34.11500,25.43645,-249.75160,6217.00000
0,1,5,47.40111,43.63936,-245.26980,6740.00000
0,2,0,73.11418,42.21737,-253.58650,10082.00000
0,2,1,81.25037,19.88338,-253.65969,10198.00000
0,2,2,65.75210,2.60781,-258.55019,9947.00000
0,2,3,44.30239,7.47730,-262.90457,9054.00000
0,2,4,36.56250,26.67244,-263.01057,9362.00000
0,2,5,50.11955,45.25352,-258.43780,10142.00000
0,3,0,77.65845,44.91609,-268.95100,13026.00000
0,3,1,86.39670,20.88076,-269.02792,13123.00000
0,3,2,69.79579,2.33709,-274.26936,12760.00000
0,3,3,46.66067,7.56105,-278.97101,11656.00000
0,3,4,38.44048,28.29083,-279.05162,11964.00000
0,3,5,52.90652,48.18303,-274.16311,13076.00000
0,4,0,82.01535,47.17816,-285.44439,14312.00000
0,4,1,91.12769,22.11132,-285.53399,14344.00000
0,4,2,73.92488,2.80143,-290.97116,13895.00000
0,4,3,49.92183,8.20287,-295.83182,12676.00000
0,4,4,41.38219,30.11567,-295.89696,12813.00000
0,4,5,56.16984,50.61902,-290.89017,14329.00000
0,5,0,86.00473,48.90878,-301.99243,14802.00000
0,5,1,95.27495,23.43377,-302.08532,14824.00000
0,5,2,77.88936,3.83889,-307.59305,14325.00000
0,5,3,53.63815,9.23492,-312.53667,12919.00000
0,5,4,44.86028,31.94770,-312.58059,13009.00000
0,5,5,59.66938,52.48504,-307.54401,14851.00000
1,0,0,66.98578,66.14989,-223.38731,6313.00000
1,0,1,48.09669,69.06508,-227.22347,6554.00000
1,0,2,38.43511,85.61458,-223.28539,6243.00000
1,0,3,47.19164,98.60623,-215.90278,6268.00000
1,0,4,66.14372,96.96833,-211.55180,6951.00000
1,0,5,76.09787,79.76227,-215.69277,6795.00000
1,1,0,71.43268,66.83655,-234.14959,6521.00000
1,1,1,48.85706,70.26120,-238.77204,6701.00000
1,1,2,37.28652,90.01107,-234.07381,6457.00000
1,1,3,47.82489,105.61533,-225.20075,6441.00000
