crystal,edep,x,y,z,slice_sect,time
35,714.490,-57.008,-195.589,-179.278,23,26759029.828
35,62.571,-57.940,-187.702,-197.146,33,26759029.893
11,198.701,-35.521,-152.836,-243.468,32,26759030.101
11,196.237,-37.173,-156.437,-243.766,42,26759030.114
21,229.522,28.326,237.260,-165.816,34,3331751.267
8,384.893,-103.794,13.449,-249.058,25,110911042.956
8,551.736,-121.818,3.489,-263.985,30,110911043.041
8,2.402,-114.792,-5.701,-253.676,30,110911043.093
8,232.970,-114.752,-5.755,-253.594,30,110911043.093
1,640.969,48.628,124.788,-218.447,14,183048742.967
1,214.467,43.197,116.003,-236.085,24,183048743.035
0,147.718,37.659,45.767,-230.849,05,183048743.270
0,168.846,43.749,49.066,-240.107,05,183048743.309
17,33.025,172.320,85.456,-240.985,41,166488862.241
22,962.661,49.924,165.076,-259.590,53,13829120.342
22,79.594,48.588,163.290,-255.474,43,13829120.357
22,13.771,50.901,162.367,-257.235,43,13829120.368
22,115.975,46.594,163.916,-261.237,53,13829120.388
38,415.765,-25.149,-161.027,-220.587,32,39170565.508
38,143.268,-16.248,-165.932,-257.094,43,39170565.634
21,172.853,23.665,203.801,-128.541,03,3926424.633
21,855.932,23.071,206.400,-131.134,03,3926424.645
21,4.430,22.007,199.530,-134.972,03,3926424.672
11,99.470,-43.800,-77.761,-220.978,05,3926425.665
7,44.518,-70.505,-73.386,-217.271,02,3926425.756
7,155.797,-71.180,-74.976,-216.835,03,3926425.762
41,1.500,136.255,-111.694,-209.879,22,12733148.292
41,72.787,157.044,-135.342,-226.264,42,12733148.410
0,1039.472,69.581,48.589,-246.358,20,17162550.506
0,143.564,70.442,47.266,-245.670,20,17162550.512
0,149.964,66.265,55.406,-239.699,10,17162550.548
30,721.343,-181.578,-81.263,-142.797,05,17162550.453
30,268.806,-184.252,-83.119,-140.422,05,17162550.466
30,181.851,-185.008,-80.165,-142.878,05,17162550.479
30,572.357,-180.370,-110.511,-128.450,14,65668554.992
30,258.317,-198.668,-109.509,-163.413,34,65668555.161
40,471.958,76.337,-158.442,-182.059,11,117067500.978
40,496.732,76.389,-158.429,-182.169,11,117067500.978
40,73.172,74.909,-157.782,-181.118,11,117067500.985
40,130.138,73.820,-160.697,-183.008,11,117067500.997
