x,y,z,edep,cryst,segm,d,h,m,mys
-4.5439,-19.465,17.873,1.255,29,14,0,0,0,8593118246.3744
-4.5608,-19.495,18.032,134.39,29,14,0,0,0,8593118246.3754
-4.5467,-19.519,18.096,413.78,29,14,0,0,0,8593118246.3754
-4.5603,-19.554,18.027,372.58,29,14,0,0,0,8593118246.3754
-1.0537,-15.42,13.716,0.038,29,4,0,0,0,8593118246.3974
-1.0534,-15.419,13.714,58.126,29,4,0,0,0,8593118246.3974
10.772,-5.1144,22.282,0.038,29,10,0,0,0,8593118246.4564
10.774,-5.1125,22.282,70.81,29,10,0,0,0,8593118246.4564
2.0955,-9.1535,25.892,0.125,29,15,0,0,0,8593118246.4904
2.0674,-9.1369,25.892,1.402,29,15,0,0,0,8593118246.4904
2.0673,-9.1377,25.891,9.54,29,15,0,0,0,8593118246.4904
2.0993,-9.1519,25.899,109.92,29,15,0,0,0,8593118246.4904
