x,y,z,edep,cryst,segm,d,h,m,mus
-10.572,-5.8064,32.459,0.006,32,23,0,0,0,18256415185.1436
-10.573,-5.8067,32.494,19.152,32,23,0,0,0,18256415185.1436
-10.584,-5.7682,32.689,799.98,32,23,0,0,0,18256415185.1446
-10.583,-5.7687,32.69,30.414,32,23,0,0,0,18256415185.1446
-10.174,-4.7368,34.006,1.223,32,23,0,0,0,18256415185.1496
-10.194,-4.7463,33.927,1.223,32,23,0,0,0,18256415185.1496
-10.195,-4.7464,33.928,8.621,32,23,0,0,0,18256415185.1496
-10.168,-4.7339,34.009,100.04,32,23,0,0,0,18256415185.1496
-10.085,-8.6155,18.8,11.067,32,14,0,0,0,18256415185.1896
-10.076,-8.61,18.781,71.158,32,14,0,0,0,18256415185.1896
-10.071,-8.6088,18.788,19.615,32,14,0,0,0,18256415185.1896
-10.071,-8.6098,18.789,37.002,32,14,0,0,0,18256415185.1896
-10.072,-8.6075,18.78,1.402,32,14,0,0,0,18256415185.1896
-10.072,-8.6075,18.78,2.73,32,14,0,0,0,18256415185.1896
-11.519,-6.2746,13.693,1.255,32,3,0,0,0,18256415185.2096
-11.521,-6.2782,13.722,0.179,32,3,0,0,0,18256415185.2096
-11.521,-6.2792,13.723,9.632,32,3,0,0,0,18256415185.2096
-11.52,-6.2752,13.691,57.303,32,3,0,0,0,18256415185.2096
