global_time,crystal,edep,x,y,z,slice_sect,time
 0.00000,40,747.693,78.473,-136.663,-180.667,00,23778725.931
 0.00000,40,245.454,79.037,-136.254,-180.965,00,23778725.933
 0.00000,40,35.610,77.670,-161.497,-177.566,11,23778726.018
 0.00000,39,143.243,94.915,-167.533,-175.363,25,23778726.080
 23778725.13108,43,938.499,193.057,-127.730,-180.357,44,19919365.121
 23778725.13108,43,10.914,193.017,-126.621,-177.145,34,19919365.133
 23778725.13108,43,78.360,191.939,-128.160,-166.574,34,19919365.168
 43698089.27350,11,749.947,-69.912,-107.323,-261.841,35,119531847.135
 43698089.27350,7,182.902,-103.799,-96.030,-280.111,53,119531847.269
 43698089.27350,7,17.419,-118.883,-75.428,-274.385,44,119531847.356
 43698089.27350,8,187.855,-135.343,-8.402,-266.326,41,119531847.588
 43698089.27350,8,52.721,-117.042,-13.236,-252.579,30,119531847.666
 43698089.27350,8,17.138,-121.317,-19.855,-248.609,31,119531847.695
 43698089.27350,8,125.019,-123.218,-16.105,-245.376,31,119531847.713
 43698089.27350,0,702.576,31.154,19.873,-252.354,13,119531847.013
 43698089.27350,12,302.477,34.582,-12.163,-267.063,24,119531847.131
 43698089.27350,0,27.034,34.600,5.236,-254.298,13,119531847.203
 43698089.27350,0,139.913,35.099,6.787,-255.162,13,119531847.209
 163229935.43571,6,740.690,-87.279,37.920,-303.093,52,151597810.445
 163229935.43571,6,219.336,-91.564,22.904,-308.019,51,151597810.500
 163229935.43571,6,90.602,-89.934,22.039,-303.149,51,151597810.517
 163229935.43571,6,84.695,-105.685,18.716,-307.422,51,151597810.660
 366909227.60040,22,947.714,43.656,142.500,-224.566,23,29034807.353
 366909227.60040,36,224.286,10.377,-189.027,-148.476,00,29034808.493
 443952973.17073,5,357.382,-20.185,144.231,-213.208,13,258801072.661
 740719056.40702,29,122.895,-231.773,14.186,-215.605,54,180364197.945
 740719056.40702,2,37.229,84.700,43.318,-227.308,05,180364197.534
 740719056.40702,2,495.744,114.617,59.796,-280.901,55,180364197.746
 740719056.40702,2,121.441,115.141,56.582,-286.742,55,180364197.769
 1181170987.58195,44,932.986,163.201,-52.619,-177.412,00,76177973.975
 1181170987.58195,44,206.468,159.260,-44.957,-185.935,05,76177974.015
 1181170987.58195,44,25.047,161.790,-43.649,-184.211,05,76177974.026
 1181170987.58195,44,168.499,164.813,-46.291,-180.335,00,76177974.045
 1535176452.43045,0,280.886,37.192,59.047,-251.894,25,77424346.243
 1535176452.43045,3,52.474,10.543,68.474,-241.160,12,77424346.344
 1535176452.43045,3,30.418,-9.854,47.879,-239.897,03,77424346.441
 1535176452.43045,3,160.034,-14.280,48.339,-237.156,04,77424346.458
 1612600797.78238,40,397.781,84.058,-190.910,-210.351,41,293911973.318
 2038078273.52182,18,808.275,60.607,173.806,-163.644,02,71294890.145
 2038078273.52182,20,301.879,88.635,162.079,-192.545,25,71294890.285
 2038078273.52182,20,8.659,77.107,149.450,-192.150,15,71294890.342
 2038078273.52182,20,54.104,72.254,142.967,-188.483,15,71294890.372
 2038078273.52182,22,160.083,59.649,150.693,-184.905,02,71294890.423
 2109373162.84529,33,713.789,-146.867,-157.606,-143.223,13,61402155.871
 2170775317.85362,42,934.148,195.353,-5.448,-140.265,03,223661124.863
 2170775317.85362,42,84.103,212.428,-21.176,-125.496,14,223661124.955
 2514432921.11995,36,709.232,36.384,-203.221,-128.919,04,131972381.884
 2514432921.11995,36,142.670,36.660,-203.730,-128.492,04,131972381.886
 2711319124.04625,17,410.785,161.193,76.458,-162.347,05,107936597.151
 2711319124.04625,15,199.617,179.997,60.657,-155.726,01,107936597.384
 2970600559.44895,16,1086.919,168.479,33.624,-179.619,10,34954801.468
 2970600559.44895,16,246.081,167.451,35.549,-176.956,00,34954801.480
 3005555360.08726,9,456.734,-43.683,-75.877,-229.111,01,2979164.377
 3005555360.08726,11,458.675,-40.090,-106.646,-247.963,20,2979164.498
 3005555360.08726,11,117.223,-33.964,-105.467,-244.828,20,2979164.522
 3005555360.08726,11,29.022,-38.242,-106.442,-258.488,30,2979164.570
 3005555360.08726,11,110.346,-32.794,-102.629,-260.771,30,2979164.593
